capabilityKey	publicSymbols	executedTests	compilerEvidenceIds	sharedScenarios
common|owner=io.github.codex_agent_labs.codexagent.agent/CodexAgent|kind=property|abi=io.github.codex_agent_labs.codexagent.agent/CodexAgent.models|{}models[0]|propertyKind=VAL|type=io.github.codex_agent_labs.codexagent.agent/CodexModels!!	CodexAgent.CodexAgent.Models	csharp.agent:007	c-header:codex_agent_agent_models,cabi-fixture:macosArm64Test.io.github.codex_agent_labs.codexagent.capi.CodexAgentCServiceHandlesTest#agentFacadesAreIdentityStableExactAndFailClosed[macosArm64],csharp-il-agent:007	identity,parent-child-ownership,value-conversion
common|owner=io.github.codex_agent_labs.codexagent.agent/CodexAgent|kind=property|abi=io.github.codex_agent_labs.codexagent.agent/CodexAgent.plugins|{}plugins[0]|propertyKind=VAL|type=io.github.codex_agent_labs.codexagent.agent/CodexPlugins!!	CodexAgent.CodexAgent.Plugins	csharp.agent:008	c-header:codex_agent_agent_plugins,cabi-fixture:macosArm64Test.io.github.codex_agent_labs.codexagent.capi.CodexAgentCServiceHandlesTest#agentFacadesAreIdentityStableExactAndFailClosed[macosArm64],csharp-il-agent:008	identity,parent-child-ownership,value-conversion
common|owner=io.github.codex_agent_labs.codexagent.agent/CodexAgent|kind=property|abi=io.github.codex_agent_labs.codexagent.agent/CodexAgent.skills|{}skills[0]|propertyKind=VAL|type=io.github.codex_agent_labs.codexagent.agent/CodexSkills!!	CodexAgent.CodexAgent.Skills	csharp.agent:009	c-header:codex_agent_agent_skills,cabi-fixture:macosArm64Test.io.github.codex_agent_labs.codexagent.capi.CodexAgentCServiceHandlesTest#agentFacadesAreIdentityStableExactAndFailClosed[macosArm64],csharp-il-agent:009	identity,parent-child-ownership,value-conversion
common|owner=io.github.codex_agent_labs.codexagent.agent/CodexAgent|kind=property|abi=io.github.codex_agent_labs.codexagent.agent/CodexAgent.workspace|{}workspace[0]|propertyKind=VAL|type=io.github.codex_agent_labs.codexagent.agent/CodexWorkspace!!	CodexAgent.CodexAgent.Workspace	csharp.agent:010	c-header:codex_agent_agent_workspace,cabi-fixture:macosArm64Test.io.github.codex_agent_labs.codexagent.capi.CodexAgentCServiceHandlesTest#agentWorkspaceIsAnOwnedSnapshotAndFailsClosed[macosArm64],csharp-il-agent:010	parent-child-ownership,value-conversion
common|owner=io.github.codex_agent_labs.codexagent.agent/CodexAuthenticationMethod.ApiKey|kind=constructor|abi=io.github.codex_agent_labs.codexagent.agent/CodexAuthenticationMethod.ApiKey.<init>|<init>(kotlin.String){}[0]|return=io.github.codex_agent_labs.codexagent.agent/CodexAuthenticationMethod.ApiKey|suspend=false|parameters=[REGULAR:kotlin/String!!:default=false:vararg=false]	CodexAgent.CodexAuthenticationMethod.ApiKey.#ctor	csharp.residual.CodexAuthenticationMethod.ApiKey.constructor	c-header:codex_agent_authentication_method_api_key_create,c-header:codex_agent_authentication_method_api_key_destroy,cabi-fixture:macosArm64Test.io.github.codex_agent_labs.codexagent.capi.CodexAgentCInvocationAuthValuesTest#authenticationMethodLeavesValidateSecretsAndOwnDistinctHandles[macosArm64]	value-conversion
common|owner=io.github.codex_agent_labs.codexagent.agent/CodexAuthenticationMethod.ApiKey|kind=property|abi=io.github.codex_agent_labs.codexagent.agent/CodexAuthenticationMethod.ApiKey.value|{}value[0]|propertyKind=VAL|type=kotlin/String!!	CodexAgent.CodexAuthenticationMethod.ApiKey.Value	csharp.residual.CodexAuthenticationMethod.ApiKey.Value	c-header:codex_agent_authentication_method_api_key_value_copy,cabi-fixture:macosArm64Test.io.github.codex_agent_labs.codexagent.capi.CodexAgentCInvocationAuthValuesTest#authenticationMethodLeavesValidateSecretsAndOwnDistinctHandles[macosArm64]	value-conversion
common|owner=io.github.codex_agent_labs.codexagent.agent/CodexAuthenticationMethod.ChatGptBrowser|kind=object|abi=io.github.codex_agent_labs.codexagent.agent/CodexAuthenticationMethod.ChatGptBrowser|null[0]	CodexAgent.CodexAuthenticationMethod.ChatGptBrowser.Instance	csharp.residual.CodexAuthenticationMethod.ChatGptBrowser.instance	c-header:codex_agent_authentication_method_chat_gpt_browser_create,c-header:codex_agent_authentication_method_chat_gpt_browser_destroy,cabi-fixture:macosArm64Test.io.github.codex_agent_labs.codexagent.capi.CodexAgentCInvocationAuthValuesTest#authenticationMethodLeavesValidateSecretsAndOwnDistinctHandles[macosArm64]	value-conversion
common|owner=io.github.codex_agent_labs.codexagent.agent/CodexAuthenticationMethod.ChatGptDeviceCode|kind=object|abi=io.github.codex_agent_labs.codexagent.agent/CodexAuthenticationMethod.ChatGptDeviceCode|null[0]	CodexAgent.CodexAuthenticationMethod.ChatGptDeviceCode.Instance	csharp.residual.CodexAuthenticationMethod.ChatGptDeviceCode.instance	c-header:codex_agent_authentication_method_chat_gpt_device_code_create,c-header:codex_agent_authentication_method_chat_gpt_device_code_destroy,cabi-fixture:macosArm64Test.io.github.codex_agent_labs.codexagent.capi.CodexAgentCInvocationAuthValuesTest#authenticationMethodLeavesValidateSecretsAndOwnDistinctHandles[macosArm64]	value-conversion
common|owner=io.github.codex_agent_labs.codexagent.agent/CodexAuthentication|kind=function|abi=io.github.codex_agent_labs.codexagent.agent/CodexAuthentication.authenticate|authenticate(io.github.codex_agent_labs.codexagent.agent.CodexAuthenticationMethod){}[0]|return=kotlin/Unit|suspend=true|parameters=[REGULAR:io.github.codex_agent_labs.codexagent.agent/CodexAuthenticationMethod!!:default=true:vararg=false]	CodexAgent.CodexAuthentication.AuthenticateAsync	csharp.leaf:000	c-header:codex_agent_authentication_authenticate_api_key,c-header:codex_agent_authentication_authenticate_chat_gpt_browser,c-header:codex_agent_authentication_authenticate_chat_gpt_device_code,c-header:codex_agent_operation_result,cabi-fixture:macosArm64Test.io.github.codex_agent_labs.codexagent.capi.CodexAgentCSuspendLifecycleOperationsTest#authenticationAuthenticateCopiesAndExecutesEveryMethodVariant[macosArm64],csharp-il-leaf:000	async-success,parent-child-ownership,value-conversion
common|owner=io.github.codex_agent_labs.codexagent.agent/CodexAuthentication|kind=function|abi=io.github.codex_agent_labs.codexagent.agent/CodexAuthentication.cancel|cancel(){}[0]|return=kotlin/Unit|suspend=true|parameters=[]	CodexAgent.CodexAuthentication.CancelAsync	csharp.leaf:001	c-header:codex_agent_authentication_cancel,c-header:codex_agent_operation_result,cabi-fixture:macosArm64Test.io.github.codex_agent_labs.codexagent.capi.CodexAgentCSuspendLifecycleOperationsTest#authenticationCancelCompletesCanonicalOperation[macosArm64],csharp-il-leaf:001	async-success,parent-child-ownership,value-conversion
