capabilityKey	publicSymbols	executedTests	compilerEvidenceIds	sharedScenarios
common|owner=io.github.codex_agent_labs.codexagent.agent/AgentHookHandler.McpTool|kind=property|abi=io.github.codex_agent_labs.codexagent.agent/AgentHookHandler.McpTool.tool|{}tool[0]|propertyKind=VAL|type=kotlin/String!!	codex_agent::McpToolHookHandler::tool	rust.residual:071	c-header:codex_agent_hook_handler_mcp_tool_tool_copy,cabi-fixture:macosArm64Test.io.github.codex_agent_labs.codexagent.capi.CodexAgentCFormHookValuesTest#projectsEveryHookHandlerVariantExactly[macosArm64],cabi-fixture:macosArm64Test.io.github.codex_agent_labs.codexagent.capi.CodexAgentCFormHookValuesTest#rejectsWrongContextPayloadAndStaleHandles[macosArm64]	value-conversion
common|owner=io.github.codex_agent_labs.codexagent.agent/AgentHookHandler.Prompt|kind=object|abi=io.github.codex_agent_labs.codexagent.agent/AgentHookHandler.Prompt|null[0]	codex_agent::PromptHookHandler::INSTANCE	rust.residual:072	c-header:codex_agent_hook_handler_prompt_acquire,c-header:codex_agent_hook_handler_prompt_destroy,cabi-fixture:macosArm64Test.io.github.codex_agent_labs.codexagent.capi.CodexAgentCFormHookValuesTest#projectsEveryHookHandlerVariantExactly[macosArm64],cabi-fixture:macosArm64Test.io.github.codex_agent_labs.codexagent.capi.CodexAgentCFormHookValuesTest#rejectsWrongContextPayloadAndStaleHandles[macosArm64]	value-conversion
common|owner=io.github.codex_agent_labs.codexagent.agent/AgentHookRunStatus|kind=enum-entry|abi=io.github.codex_agent_labs.codexagent.agent/AgentHookRunStatus.BLOCKED|null[0]	codex_agent::HookRunStatus::Blocked	rust.enum.HookRunStatus.Blocked	c-header-enum:47	value-conversion
common|owner=io.github.codex_agent_labs.codexagent.agent/AgentHookRunStatus|kind=enum-entry|abi=io.github.codex_agent_labs.codexagent.agent/AgentHookRunStatus.COMPLETED|null[0]	codex_agent::HookRunStatus::Completed	rust.enum.HookRunStatus.Completed	c-header-enum:48	value-conversion
common|owner=io.github.codex_agent_labs.codexagent.agent/AgentHookRunStatus|kind=enum-entry|abi=io.github.codex_agent_labs.codexagent.agent/AgentHookRunStatus.FAILED|null[0]	codex_agent::HookRunStatus::Failed	rust.enum.HookRunStatus.Failed	c-header-enum:49	value-conversion
common|owner=io.github.codex_agent_labs.codexagent.agent/AgentHookRunStatus|kind=enum-entry|abi=io.github.codex_agent_labs.codexagent.agent/AgentHookRunStatus.RUNNING|null[0]	codex_agent::HookRunStatus::Running	rust.enum.HookRunStatus.Running	c-header-enum:50	value-conversion
common|owner=io.github.codex_agent_labs.codexagent.agent/AgentHookRunStatus|kind=enum-entry|abi=io.github.codex_agent_labs.codexagent.agent/AgentHookRunStatus.STOPPED|null[0]	codex_agent::HookRunStatus::Stopped	rust.enum.HookRunStatus.Stopped	c-header-enum:51	value-conversion
common|owner=io.github.codex_agent_labs.codexagent.agent/AgentHookTrustStatus|kind=enum-entry|abi=io.github.codex_agent_labs.codexagent.agent/AgentHookTrustStatus.MANAGED|null[0]	codex_agent::HookTrustStatus::Managed	rust.enum.HookTrustStatus.Managed	c-header-enum:52	value-conversion
common|owner=io.github.codex_agent_labs.codexagent.agent/AgentHookTrustStatus|kind=enum-entry|abi=io.github.codex_agent_labs.codexagent.agent/AgentHookTrustStatus.MODIFIED|null[0]	codex_agent::HookTrustStatus::Modified	rust.enum.HookTrustStatus.Modified	c-header-enum:53	value-conversion
common|owner=io.github.codex_agent_labs.codexagent.agent/AgentHookTrustStatus|kind=enum-entry|abi=io.github.codex_agent_labs.codexagent.agent/AgentHookTrustStatus.TRUSTED|null[0]	codex_agent::HookTrustStatus::Trusted	rust.enum.HookTrustStatus.Trusted	c-header-enum:54	value-conversion
common|owner=io.github.codex_agent_labs.codexagent.agent/AgentHookTrustStatus|kind=enum-entry|abi=io.github.codex_agent_labs.codexagent.agent/AgentHookTrustStatus.UNTRUSTED|null[0]	codex_agent::HookTrustStatus::Untrusted	rust.enum.HookTrustStatus.Untrusted	c-header-enum:55	value-conversion
