capabilityKey	publicSymbols	executedTests	compilerEvidenceIds	sharedScenarios
common|owner=io.github.codex_agent_labs.codexagent.agent/CodexIntegrationAuthorization|kind=function|abi=io.github.codex_agent_labs.codexagent.agent/CodexIntegrationAuthorization.cancel|cancel(){}[0]|return=kotlin/Unit|suspend=true|parameters=[]	CodexIntegrationAuthorization.cancel	dart.leaf:014	c-header:codex_agent_integration_authorization_cancel,c-header:codex_agent_operation_result,cabi-fixture:macosArm64Test.io.github.codex_agent_labs.codexagent.capi.CodexAgentCSuspendLifecycleOperationsTest#integrationAuthorizationCancelCompletesCanonicalOperation[macosArm64],dart-analyzer-leaf:014	async-success,parent-child-ownership,value-conversion
common|owner=io.github.codex_agent_labs.codexagent.agent/CodexIntegrationAuthorization|kind=property|abi=io.github.codex_agent_labs.codexagent.agent/CodexIntegrationAuthorization.active|{}active[0]|propertyKind=VAL|type=kotlinx.coroutines.flow/StateFlow<INVARIANT:io.github.codex_agent_labs.codexagent.agent/AgentIntegration?>!!	CodexIntegrationAuthorization.activeState	dart.leaf:015	c-header:codex_agent_integration_authorization_active_get,c-header:codex_agent_integration_authorization_active_has_value,c-header:codex_agent_integration_authorization_active_subscribe,c-header:codex_agent_integration_authorization_active_value,cabi-fixture:macosArm64Test.io.github.codex_agent_labs.codexagent.capi.CodexAgentCIntegrationAuthorizationFlowsTest#integrationAuthorizationActiveGetAndSubscribeProjectNullConnectorMcpNull[macosArm64],dart-analyzer-leaf:015	nullability,parent-child-ownership,state-current-value,state-subsequent-value,subscription-cancellation,terminal-delivery,value-conversion
common|owner=io.github.codex_agent_labs.codexagent.agent/CodexIntegrationAuthorization|kind=property|abi=io.github.codex_agent_labs.codexagent.agent/CodexIntegrationAuthorization.isAuthorizing|{}isAuthorizing[0]|propertyKind=VAL|type=kotlinx.coroutines.flow/StateFlow<INVARIANT:kotlin/Boolean!!>!!	CodexIntegrationAuthorization.isAuthorizingState	dart.leaf:016	c-header:codex_agent_integration_authorization_is_authorizing_get,c-header:codex_agent_integration_authorization_is_authorizing_subscribe,c-header:codex_agent_state_boolean_value,cabi-fixture:macosArm64Test.io.github.codex_agent_labs.codexagent.capi.CodexAgentCIntegrationAuthorizationFlowsTest#integrationAuthorizationIsAuthorizingGetAndSubscribeProjectFalseTrueFalse[macosArm64],dart-analyzer-leaf:016	parent-child-ownership,state-current-value,state-subsequent-value,subscription-cancellation,terminal-delivery,value-conversion
common|owner=io.github.codex_agent_labs.codexagent.agent/CodexIntegrationAuthorization|kind=property|abi=io.github.codex_agent_labs.codexagent.agent/CodexIntegrationAuthorization.state|{}state[0]|propertyKind=VAL|type=kotlinx.coroutines.flow/StateFlow<INVARIANT:io.github.codex_agent_labs.codexagent.agent/AgentIntegrationAuthorizationState!!>!!	CodexIntegrationAuthorization.state	dart.leaf:017	c-header:codex_agent_integration_authorization_state_get,c-header:codex_agent_integration_authorization_state_subscribe,c-header:codex_agent_integration_authorization_state_value,cabi-fixture:macosArm64Test.io.github.codex_agent_labs.codexagent.capi.CodexAgentCIntegrationAuthorizationFlowsTest#integrationAuthorizationStateGetAndSubscribeProjectConnectorAndMcpTransitions[macosArm64],dart-analyzer-leaf:017	parent-child-ownership,state-current-value,state-subsequent-value,subscription-cancellation,terminal-delivery,value-conversion
common|owner=io.github.codex_agent_labs.codexagent.agent/CodexInteractions|kind=function|abi=io.github.codex_agent_labs.codexagent.agent/CodexInteractions.openUrl|openUrl(io.github.codex_agent_labs.codexagent.agent.AgentPendingElicitation){}[0]|return=kotlin/Unit|suspend=true|parameters=[REGULAR:io.github.codex_agent_labs.codexagent.agent/AgentPendingElicitation!!:default=false:vararg=false]	CodexInteractions.openUrl	dart.leaf:018	c-header:codex_agent_interactions_open_url,c-header:codex_agent_operation_result,cabi-fixture:macosArm64Test.io.github.codex_agent_labs.codexagent.capi.CodexAgentCInteractionOperationsTest#openUrlUsesExactOwnedPendingIdentityAndOwnsBrowserPresentation[macosArm64],dart-analyzer-leaf:018	async-failure,async-success,cancellation,identity,parent-child-ownership,structured-failure,value-conversion
common|owner=io.github.codex_agent_labs.codexagent.agent/CodexInteractions|kind=function|abi=io.github.codex_agent_labs.codexagent.agent/CodexInteractions.resolve|resolve(io.github.codex_agent_labs.codexagent.agent.AgentPendingApproval;io.github.codex_agent_labs.codexagent.agent.AgentApprovalDecision){}[0]|return=kotlin/Unit|suspend=true|parameters=[REGULAR:io.github.codex_agent_labs.codexagent.agent/AgentPendingApproval!!:default=false:vararg=false,REGULAR:io.github.codex_agent_labs.codexagent.agent/AgentApprovalDecision!!:default=false:vararg=false]	CodexInteractions.resolveApproval	dart.leaf:019	c-header:codex_agent_interactions_resolve_approval,c-header:codex_agent_operation_result,cabi-fixture:macosArm64Test.io.github.codex_agent_labs.codexagent.capi.CodexAgentCInteractionOperationsTest#resolveApprovalUsesExactOwnedPendingIdentityAndCompletesCancellableOperation[macosArm64],dart-analyzer-leaf:019	async-success,cancellation,identity,parent-child-ownership,value-conversion
common|owner=io.github.codex_agent_labs.codexagent.agent/CodexInteractions|kind=function|abi=io.github.codex_agent_labs.codexagent.agent/CodexInteractions.resolve|resolve(io.github.codex_agent_labs.codexagent.agent.AgentPendingElicitation;io.github.codex_agent_labs.codexagent.agent.AgentElicitationResponse){}[0]|return=kotlin/Unit|suspend=true|parameters=[REGULAR:io.github.codex_agent_labs.codexagent.agent/AgentPendingElicitation!!:default=false:vararg=false,REGULAR:io.github.codex_agent_labs.codexagent.agent/AgentElicitationResponse!!:default=false:vararg=false]	CodexInteractions.resolveElicitation	dart.leaf:020	c-header:codex_agent_interactions_resolve_elicitation,c-header:codex_agent_operation_result,cabi-fixture:macosArm64Test.io.github.codex_agent_labs.codexagent.capi.CodexAgentCInteractionOperationsTest#resolveElicitationCopiesResponseAndUsesExactOwnedPendingIdentity[macosArm64],dart-analyzer-leaf:020	async-success,cancellation,identity,parent-child-ownership,value-conversion
common|owner=io.github.codex_agent_labs.codexagent.agent/CodexInteractions|kind=property|abi=io.github.codex_agent_labs.codexagent.agent/CodexInteractions.approvals|{}approvals[0]|propertyKind=VAL|type=kotlinx.coroutines.flow/StateFlow<INVARIANT:kotlin.collections/List<INVARIANT:io.github.codex_agent_labs.codexagent.agent/AgentPendingApproval!!>!!>!!	CodexInteractions.approvalsState	dart.leaf:021	c-header:codex_agent_interactions_approvals_at,c-header:codex_agent_interactions_approvals_count,c-header:codex_agent_interactions_approvals_get,c-header:codex_agent_interactions_approvals_subscribe,cabi-fixture:macosArm64Test.io.github.codex_agent_labs.codexagent.capi.CodexAgentCInteractionFlowsTest#interactionsApprovalsProjectCurrentChangeOwnedIdentityAndOwnerTerminal[macosArm64],dart-analyzer-leaf:021	collection-immutability-ordering,identity,parent-child-ownership,state-current-value,state-subsequent-value,subscription-cancellation,terminal-delivery,value-conversion
common|owner=io.github.codex_agent_labs.codexagent.agent/CodexInteractions|kind=property|abi=io.github.codex_agent_labs.codexagent.agent/CodexInteractions.elicitations|{}elicitations[0]|propertyKind=VAL|type=kotlinx.coroutines.flow/StateFlow<INVARIANT:kotlin.collections/List<INVARIANT:io.github.codex_agent_labs.codexagent.agent/AgentPendingElicitation!!>!!>!!	CodexInteractions.elicitationsState	dart.leaf:022	c-header:codex_agent_interactions_elicitations_at,c-header:codex_agent_interactions_elicitations_count,c-header:codex_agent_interactions_elicitations_get,c-header:codex_agent_interactions_elicitations_subscribe,cabi-fixture:macosArm64Test.io.github.codex_agent_labs.codexagent.capi.CodexAgentCInteractionFlowsTest#interactionsElicitationsProjectCurrentChangeOwnedIdentityAndOwnerTerminal[macosArm64],dart-analyzer-leaf:022	collection-immutability-ordering,identity,parent-child-ownership,state-current-value,state-subsequent-value,subscription-cancellation,terminal-delivery,value-conversion
common|owner=io.github.codex_agent_labs.codexagent.agent/CodexInteractions|kind=property|abi=io.github.codex_agent_labs.codexagent.agent/CodexInteractions.state|{}state[0]|propertyKind=VAL|type=kotlinx.coroutines.flow/StateFlow<INVARIANT:io.github.codex_agent_labs.codexagent.agent/AgentInteractionState!!>!!	CodexInteractions.state	dart.leaf:023	c-header:codex_agent_interactions_state_get,c-header:codex_agent_interactions_state_subscribe,c-header:codex_agent_interactions_state_value,cabi-fixture:macosArm64Test.io.github.codex_agent_labs.codexagent.capi.CodexAgentCInteractionFlowsTest#interactionsStateProjectsCurrentOrderedPendingAndOwnerTerminal[macosArm64],dart-analyzer-leaf:023	identity,parent-child-ownership,state-current-value,state-subsequent-value,subscription-cancellation,terminal-delivery,value-conversion
common|owner=io.github.codex_agent_labs.codexagent.agent/CodexMcpServers|kind=function|abi=io.github.codex_agent_labs.codexagent.agent/CodexMcpServers.add|add(io.github.codex_agent_labs.codexagent.agent.AgentMcpServerConfiguration){}[0]|return=io.github.codex_agent_labs.codexagent.agent/AgentMcpServer!!|suspend=true|parameters=[REGULAR:io.github.codex_agent_labs.codexagent.agent/AgentMcpServerConfiguration!!:default=false:vararg=false]	CodexMcpServers.add	dart.leaf:024	c-header:codex_agent_mcp_servers_add,c-header:codex_agent_operation_mcp_server,c-header:codex_agent_operation_result,cabi-fixture:macosArm64Test.io.github.codex_agent_labs.codexagent.capi.CodexAgentCSuspendCatalogOperationsTest#mcpServersAddCopiesConfigurationAndReturnsServer[macosArm64],dart-analyzer-leaf:024	async-success,parent-child-ownership,value-conversion
common|owner=io.github.codex_agent_labs.codexagent.agent/CodexMcpServers|kind=function|abi=io.github.codex_agent_labs.codexagent.agent/CodexMcpServers.list|list(){}[0]|return=kotlin.collections/List<INVARIANT:io.github.codex_agent_labs.codexagent.agent/AgentMcpServer!!>!!|suspend=true|parameters=[]	CodexMcpServers.list	dart.leaf:025	c-header:codex_agent_mcp_servers_list,c-header:codex_agent_operation_mcp_server_at,c-header:codex_agent_operation_mcp_servers_count,c-header:codex_agent_operation_result,cabi-fixture:macosArm64Test.io.github.codex_agent_labs.codexagent.capi.CodexAgentCSuspendCatalogOperationsTest#mcpServersListReturnsFreshOrderedServers[macosArm64],dart-analyzer-leaf:025	async-success,collection-immutability-ordering,parent-child-ownership,value-conversion
common|owner=io.github.codex_agent_labs.codexagent.agent/CodexMcpServers|kind=function|abi=io.github.codex_agent_labs.codexagent.agent/CodexMcpServers.remove|remove(io.github.codex_agent_labs.codexagent.agent.AgentMcpServer){}[0]|return=kotlin/Unit|suspend=true|parameters=[REGULAR:io.github.codex_agent_labs.codexagent.agent/AgentMcpServer!!:default=false:vararg=false]	CodexMcpServers.remove	dart.leaf:026	c-header:codex_agent_mcp_servers_remove,c-header:codex_agent_operation_result,cabi-fixture:macosArm64Test.io.github.codex_agent_labs.codexagent.capi.CodexAgentCSuspendCatalogOperationsTest#mcpServersRemoveIsUnitAndCopiesServer[macosArm64],dart-analyzer-leaf:026	async-success,parent-child-ownership,value-conversion
